Stamp,Status,AT,B,K,NOe,OOe,Szb,Stmk,T,V,W
2020-04-07 15:00:00,Confirmed,12519,234,341,2071,1991,1094,1372,2835,768,1813
2020-04-07 09:30:00,Deaths,243,3,4,39,23,16,60,40,5,53
2020-04-07 07:30:00,Hospitalisierung,1100,13,35,217,125,95,166,215,43,191
2020-04-07 07:30:00,Intensivstation,243,4,12,48,31,16,29,59,11,33
2020-04-07 09:30:00,Recovered,4046,60,132,567,819,294,262,1237,403,272
2020-04-07 09:30:00,Tested,115235,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-08 15:00:00,Confirmed,12852,242,353,2122,2037,1119,1423,2903,793,1860
2020-04-08 10:00:00,Deaths,273,3,5,42,28,20,66,46,5,58
2020-04-08 08:00:00,Hospitalisierung,1096,12,33,208,152,90,176,197,40,188
2020-04-08 08:00:00,Intensivstation,267,2,12,55,33,21,33,65,11,35
2020-04-08 10:00:00,Recovered,4512,71,148,646,858,361,303,1370,463,292
2020-04-08 10:00:00,Tested,120755,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-09 15:00:00,Confirmed,13138,245,365,2169,2079,1134,1458,2996,800,1892
2020-04-09 10:30:00,Deaths,295,3,5,47,29,20,69,53,7,62
2020-04-09 08:30:00,Hospitalisierung,1086,15,32,208,146,94,172,188,40,191
2020-04-09 08:30:00,Intensivstation,266,4,13,54,29,19,31,65,11,40
2020-04-09 10:30:00,Recovered,5240,81,173,747,1075,432,367,1552,509,304
2020-04-09 10:30:00,Tested,126287,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-10 15:00:00,Confirmed,13492,253,373,2206,2100,1152,1484,3163,809,1952
2020-04-10 10:00:00,Deaths,319,4,5,54,29,23,71,59,7,67
2020-04-10 08:00:00,Hospitalisierung,1032,12,30,205,120,93,163,183,38,188
2020-04-10 08:00:00,Intensivstation,261,4,12,53,28,19,32,61,11,41
2020-04-10 10:00:00,Recovered,6064,112,193,851,1205,524,437,1687,562,493
2020-04-10 10:00:00,Tested,134743,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-11 15:00:00,Confirmed,13776,259,382,2274,2115,1154,1515,3257,825,1995
2020-04-11 09:30:00,Deaths,337,5,5,60,29,24,73,62,7,72
2020-04-11 07:30:00,Hospitalisierung,1036,14,29,236,116,88,149,179,38,187
2020-04-11 07:30:00,Intensivstation,246,3,10,42,29,18,33,63,11,37
2020-04-11 09:30:00,Recovered,6604,119,212,951,1316,630,488,1790,582,516
2020-04-11 09:30:00,Tested,140975,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-12 09:30:00,Confirmed,13945,260,382,2284,2118,1181,1524,3324,843,2029
2020-04-12 09:30:00,Deaths,350,6,5,62,30,24,76,66,7,74
2020-04-12 07:30:00,Hospitalisierung,1035,17,27,231,115,89,154,174,37,191
2020-04-12 07:30:00,Intensivstation,243,3,10,42,29,21,32,61,10,35
2020-04-12 09:30:00,Recovered,6987,120,219,1010,1381,704,512,1901,607,533
2020-04-12 09:30:00,Tested,144877,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-13 15:00:00,Confirmed,13999,268,386,2343,2127,1169,1560,3299,832,2015
2020-04-13 09:30:00,Deaths,368,6,8,66,32,26,80,68,7,75
2020-04-13 07:30:00,Hospitalisierung,981,12,27,234,116,91,146,160,32,163
2020-04-13 07:30:00,Intensivstation,239,3,10,42,32,20,31,57,10,34
2020-04-13 09:30:00,Recovered,7343,134,227,1088,1483,735,517,1989,619,551
2020-04-13 09:30:00,Tested,148412,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-14 15:00:00,Confirmed,14159,271,386,2387,2140,1174,1588,3328,832,2053
2020-04-14 09:30:00,Deaths,384,6,9,67,32,26,87,72,7,78
2020-04-14 07:30:00,Hospitalisierung,1002,15,24,236,116,101,141,160,33,176
2020-04-14 07:30:00,Intensivstation,243,4,8,43,30,20,28,56,10,44
2020-04-14 09:30:00,Recovered,7633,135,241,1167,1524,762,534,2073,637,560
2020-04-14 09:30:00,Tested,151796,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-15 13:00:00,Confirmed,14321,278,388,2415,2162,1178,16,3352,847,2101
2020-04-15 07:30:00,Deaths,393,6,8,71,32,26,90,72,7,81
2020-04-15 07:30:00,Hospitalisierung,1001,20,25,235,117,97,142,164,33,168
2020-04-15 07:30:00,Intensivstation,232,4,10,42,30,19,24,55,10,38
2020-04-15 07:30:00,Recovered,8098,148,255,1315,1633,778,617,2134,646,572
2020-04-15 07:30:00,Tested,156801,1938,6549,16188,26579,12837,16225,37091,6734,3266
2020-04-16 13:00:00,Confirmed,14451,286,389,2436,2174,1186,1617,3392,852,2119
2020-04-16 07:30:00,Deaths,410,6,8,73,34,27,93,80,7,82
2020-04-16 07:30:00,Hospitalisierung,967,17,23,236,109,88,141,144,29,180
2020-04-16 07:30:00,Intensivstation,238,4,10,46,31,15,21,54,11,46
2020-04-16 07:30:00,Recovered,8986,165,269,1415,1714,790,661,2244,654,1074
2020-04-16 07:30:00,Tested,162816,2020,6767,17410,27453,13288,16996,38388,6887,33607
2020-04-17 13:00:00,Confirmed,14553,289,394,2461,2183,1190,1631,3406,854,2145
2020-04-17 07:30:00,Deaths,431,7,8,77,37,28,97,83,8,86
2020-04-17 07:30:00,Hospitalisierung,909,18,18,219,101,96,134,135,23,165
2020-04-17 07:30:00,Intensivstation,227,5,8,40,30,19,22,54,10,39
2020-04-17 07:30:00,Recovered,9704,167,274,1498,1753,875,717,2374,665,1381
2020-04-17 07:30:00,Tested,169272,2209,6956,18269,27858,13659,17998,39722,6998,35603
2020-04-18 06:00:00,Confirmed,14595,295,395,2461,2194,1191,1638,3407,855,2159
2020-04-18 07:30:00,Deaths,443,7,9,80,37,29,99,85,9,88
2020-04-18 07:30:00,Hospitalisierung,855,17,16,207,97,91,118,125,23,161
2020-04-18 07:30:00,Intensivstation,208,5,9,41,25,17,20,51,8,32
2020-04-18 07:30:00,Recovered,10214,181,295,1560,1822,875,775,2486,668,1552
2020-04-18 07:30:00,Tested,175932,2301,7156,18831,29190,14085,19036,40884,7193,37256
2020-04-19 13:00:00,Confirmed,14696,302,394,2476,2200,1199,1652,3417,858,2198
2020-04-19 07:30:00,Deaths,452,8,10,82,38,29,101,85,9,90
2020-04-19 07:30:00,Hospitalisierung,817,16,15,196,95,88,117,112,19,159
2020-04-19 07:30:00,Intensivstation,204,5,9,40,29,16,18,49,7,31
2020-04-19 07:30:00,Recovered,10501,198,302,1560,1847,929,809,2526,715,1615
2020-04-19 07:30:00,Tested,179243,2357,7268,19112,29696,14386,19749,42019,7400,37256
2020-04-20 13:00:00,Confirmed,14755,307,394,2495,2205,1201,1663,3427,859,2204
2020-04-20 07:30:00,Deaths,470,8,10,83,41,30,106,86,10,96
2020-04-20 07:30:00,Hospitalisierung,805,16,15,193,90,92,108,114,18,159
2020-04-20 07:30:00,Intensivstation,194,4,9,37,27,17,17,44,7,32
2020-04-20 07:30:00,Recovered,10631,200,307,1572,1884,930,816,2556,731,1635
2020-04-20 07:30:00,Tested,182949,2386,7624,19588,30373,14691,20098,42813,7626,37750
2020-04-21 06:00:00,Confirmed,14790,309,397,2501,2211,1201,1664,3431,861,2215
2020-04-21 07:30:00,Deaths,491,8,12,85,44,30,109,91,13,99
2020-04-21 07:30:00,Hospitalisierung,756,17,17,151,90,94,103,111,17,156
2020-04-21 07:30:00,Intensivstation,196,4,9,42,30,15,17,44,6,29
2020-04-21 07:30:00,Recovered,10971,210,316,1623,1912,949,874,2698,733,1656
2020-04-21 07:30:00,Tested,189018,2534,7914,20218,31046,14944,20792,43731,7959,39880
2020-04-22 13:00:00,Confirmed,14889,311,402,2519,2218,1205,1679,3440,868,2247
2020-04-22 07:30:00,Deaths,510,9,12,87,47,33,110,95,13,104
2020-04-22 07:30:00,Hospitalisierung,700,12,14,141,79,105,95,96,18,140
2020-04-22 07:30:00,Intensivstation,176,2,7,43,20,13,14,40,7,30
2020-04-22 07:30:00,Recovered,11328,227,331,1685,1944,951,904,2869,740,1677
2020-04-22 07:30:00,Tested,201794,2660,8269,20980,31933,15447,21678,44902,8384,47541
2020-04-23 13:00:00,Confirmed,14963,314,402,2531,2222,1206,1693,3445,869,2281
2020-04-23 07:30:00,Deaths,522,9,12,88,48,33,115,98,14,105
2020-04-23 07:30:00,Hospitalisierung,677,17,14,131,78,92,99,91,16,139
2020-04-23 07:30:00,Intensivstation,169,4,7,43,18,14,16,38,6,23
2020-04-23 07:30:00,Recovered,11694,226,346,1841,1972,1008,952,2905,745,1699
2020-04-23 07:30:00,Tested,205835,3006,8528,21969,33100,15969,22738,46349,8656,45520
2020-04-24 13:00:00,Confirmed,15038,315,402,2546,2232,1207,1700,3457,868,2311
2020-04-24 07:30:00,Deaths,530,8,12,89,48,33,119,101,14,106
2020-04-24 07:30:00,Hospitalisierung,651,14,14,127,78,90,88,81,14,145
2020-04-24 07:30:00,Intensivstation,156,2,7,40,15,12,13,36,6,25
2020-04-24 07:30:00,Recovered,11872,230,356,1890,2007,1008,973,2943,749,1716
2020-04-24 07:30:00,Tested,212686,3568,8755,22572,34014,16674,23673,47235,8989,47206
2020-04-25 13:00:00,Confirmed,15117,316,404,2553,2239,1210,1722,3469,868,2336
2020-04-25 07:30:00,Deaths,536,8,12,90,51,33,120,101,14,107
2020-04-25 07:30:00,Hospitalisierung,608,12,13,114,71,83,77,77,12,149
2020-04-25 07:30:00,Intensivstation,148,2,7,37,15,12,12,34,6,23
2020-04-25 07:30:00,Recovered,12103,235,360,1950,2021,1041,1011,2982,755,1748
2020-04-25 07:30:00,Tested,221089,4155,8947,24800,34849,17293,24949,48093,9396,48607
2020-04-26 06:00:00,Confirmed,15134,316,404,2554,2240,1210,1722,3473,868,2347
2020-04-26 07:30:00,Deaths,542,9,12,90,52,33,121,101,14,110
2020-04-26 07:30:00,Hospitalisierung,594,11,12,120,67,79,76,75,12,142
2020-04-26 07:30:00,Intensivstation,145,2,6,39,14,11,12,32,6,23
2020-04-26 07:30:00,Recovered,12282,234,364,2026,2022,1057,1059,2997,757,1766
2020-04-26 07:30:00,Tested,227631,4167,9036,25849,35501,18171,25666,48412,9856,50973
2020-04-27 13:00:00,Confirmed,15239,320,407,2573,2248,1214,1745,3484,868,2380
2020-04-27 07:30:00,Deaths,549,9,12,92,53,33,121,101,15,113
2020-04-27 07:30:00,Hospitalisierung,579,13,12,113,66,74,75,74,11,141
2020-04-27 07:30:00,Intensivstation,140,2,6,37,11,11,12,33,5,23
2020-04-27 07:30:00,Recovered,12362,236,368,2042,2022,1071,1068,3024,759,1772
2020-04-27 07:30:00,Tested,232537,4232,9119,27250,36230,18883,26126,48674,10219,51804
2020-04-28 13:00:00,Confirmed,15286,321,410,2577,2251,1214,1751,3494,869,2399
2020-04-28 07:30:00,Deaths,569,10,12,92,53,34,123,103,15,127
2020-04-28 07:30:00,Hospitalisierung,561,11,11,110,60,75,74,72,11,137
2020-04-28 07:30:00,Intensivstation,136,3,6,35,14,10,10,32,5,21
2020-04-28 07:30:00,Recovered,12580,242,372,2101,2040,1078,1117,3070,779,1781
2020-04-28 07:30:00,Tested,239578,5302,9471,28534,37146,19348,26908,49393,10362,53114
2020-04-29 13:00:00,Confirmed,15352,322,410,2591,2252,1215,1757,3496,870,2439
2020-04-29 07:30:00,Deaths,580,10,12,92,55,35,126,105,15,130
2020-04-29 07:30:00,Hospitalisierung,517,8,10,104,51,73,69,62,9,131
2020-04-29 07:30:00,Intensivstation,131,2,5,36,12,10,12,28,5,21
2020-04-29 07:30:00,Recovered,12779,246,378,2141,2051,1081,1155,3151,786,1790
2020-04-29 07:30:00,Tested,247754,5971,9648,29741,38144,20210,27813,50269,10811,55147
2020-04-30 13:00:00,Confirmed,15424,325,410,2619,2254,1217,1761,3502,871,2465
2020-04-30 07:30:00,Deaths,584,10,12,92,55,35,129,105,16,130
2020-04-30 07:30:00,Hospitalisierung,502,9,8,104,45,73,67,60,7,129
2020-04-30 07:30:00,Intensivstation,128,2,5,36,12,9,10,28,5,21
2020-04-30 07:30:00,Recovered,12907,250,379,2164,2074,1090,1187,3160,795,1808
2020-04-30 07:30:00,Tested,256399,6619,9904,31034,39188,21585,28844,51310,11165,56750
2020-05-01 13:00:00,Confirmed,15470,326,410,2625,2255,1217,1764,3504,872,2497
2020-05-01 07:30:00,Deaths,589,10,12,92,56,36,130,105,17,131
2020-05-01 07:30:00,Hospitalisierung,472,8,8,99,44,69,61,52,7,124
2020-05-01 07:30:00,Intensivstation,124,2,5,37,10,7,10,27,4,22
2020-05-01 07:30:00,Recovered,13092,255,381,2221,2088,1102,1220,3197,811,1817
2020-05-01 07:30:00,Tested,264079,6959,10152,31930,40001,22422,29979,52504,11719,58413
2020-05-02 06:00:00,Confirmed,15479,326,410,2626,2256,1217,1764,3504,872,2504
2020-05-03 13:00:00,Confirmed,15527,327,410,2633,2257,1219,1766,3504,873,2538
2020-05-03 07:30:00,Deaths,598,10,13,92,57,36,133,105,17,135
2020-05-03 07:30:00,Hospitalisierung,422,4,6,85,48,51,47,50,7,124
2020-05-03 07:30:00,Intensivstation,114,1,3,34,9,7,9,25,4,22
2020-05-03 07:30:00,Recovered,13228,258,382,2255,2106,1115,1246,3215,824,1827
2020-05-03 07:30:00,Tested,274355,7529,10519,32815,41188,24102,31215,53261,12783,60943
2020-05-04 13:00:00,Confirmed,15551,328,410,2638,2258,1219,1774,3509,874,2541
2020-05-04 07:30:00,Deaths,600,11,13,93,56,36,133,105,17,136
2020-05-04 07:30:00,Hospitalisierung,420,3,6,86,40,60,43,49,7,126
2020-05-04 07:30:00,Intensivstation,111,1,3,35,8,7,9,25,4,19
2020-05-04 07:30:00,Recovered,13316,261,382,2270,2110,1116,1252,3217,824,1884
2020-05-04 07:30:00,Tested,279071,7637,10837,33646,41843,24613,31579,53512,13040,62364
2020-05-05 13:00:00,Confirmed,15579,329,411,2650,2258,1214,1777,3509,874,2557
2020-05-05 07:30:00,Deaths,606,11,13,95,57,36,134,105,18,137
2020-05-05 07:30:00,Hospitalisierung,418,6,5,86,40,53,41,43,8,136
2020-05-05 07:30:00,Intensivstation,104,1,2,33,7,7,9,21,4,20
2020-05-05 07:30:00,Recovered,13462,261,383,2310,2115,1119,1300,3244,828,1902
2020-05-05 07:30:00,Tested,285883,7795,11029,34690,42706,25216,32158,54720,13156,64413
2020-05-06 06:00:00,Confirmed,15589,329,411,2653,2259,1214,1778,3510,875,2560
2020-05-06 07:30:00,Deaths,608,11,13,95,57,36,134,106,19,137
2020-05-06 07:30:00,Hospitalisierung,418,5,5,84,36,59,40,37,7,145
2020-05-06 07:30:00,Intensivstation,97,1,3,29,6,7,8,19,4,20
2020-05-06 07:30:00,Recovered,13639,264,385,2369,2131,1132,1333,3271,826,1928
